,주차장코드,주차장명,주소,검색어,url
0,1010089,초안산근린공원주차장(구),도봉구 창동 24-0,초안산근린공원주차장,https://pcmap.place.naver.com/restaurant/35824641/review/visitor#
1,1012254,마들스타디움(근린공원)(구),노원구 상계동 770-2,마들스타디움 주차장,https://pcmap.place.naver.com/restaurant/1035781410/review/visitor#
2,1013181,마장동(건물) 공영주차장(구),성동구 마장동 463-2,마장동 공영주차장,https://pcmap.place.naver.com/restaurant/70874747/review/visitor#
3,1025695,영등포여고 공영(구),영등포구 신길동 184-3,영등포여고 공영 주차장,https://pcmap.place.naver.com/restaurant/36005524/review/visitor#
4,1025696,당산근린공원 공영(구),영등포구 당산동3가 385-0,당산근린공원 공영 주차장,https://pcmap.place.naver.com/restaurant/37416199/review/visitor#
5,1025697,대림운동장(구),영등포구 대림동 780-0,대림운동장 주차장,https://pcmap.place.naver.com/restaurant/36039658/review/visitor#
6,1028036,중산공영주차장(구),동대문구 답십리동 23-3,중산공영주차장,https://pcmap.place.naver.com/restaurant/1730461103/review/visitor#
7,1028245,방학동 도깨비시장 공영주차장(구),도봉구 방학동 632-1,방학동 도깨비시장 공영주차장,https://pcmap.place.naver.com/restaurant/18002323/review/visitor#
8,1032247,은평평화공원(구),은평구 녹번동 153-1,은평평화공원 주차장,https://pcmap.place.naver.com/restaurant/36003251/review/visitor#
9,1033125,압구정 428 공영주차장(구),강남구 압구정동 428-0,압구정 428 공영주차장,https://pcmap.place.naver.com/restaurant/1460911431/review/visitor#
10,1033590,신림동공영주차장(구),관악구 신림동 1456-3,신림동공영주차장,https://pcmap.place.naver.com/restaurant/36010771/review/visitor#
11,1033754,포이초교 공영주차장(구),강남구 개포동 1273-0,포이초교 공영주차장,https://pcmap.place.naver.com/restaurant/1588292937/review/visitor#
12,1034344,수유2동 공영주차장(구),강북구 수유동 660-30,수유2동 공영주차장,https://pcmap.place.naver.com/restaurant/18614469/review/visitor#
13,1034345,송중동(임시)공영주차장(구),강북구 미아동 860-123,송중동공영주차장,https://pcmap.place.naver.com/restaurant/21186025/review/visitor#
14,1037569,바람개비주차장(구),양천구 목동 919-8,바람개비주차장,https://pcmap.place.naver.com/restaurant/36005507/review/visitor#
15,1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,구로디지털단지역 공영주차장,https://pcmap.place.naver.com/restaurant/35977161/review/visitor#
16,1040011,상계2동 공영주차장(구),노원구 상계동 373-13,상계2동 공영주차장,https://pcmap.place.naver.com/restaurant/18646988/review/visitor#
17,1040225,논현로22길(시),강남구 개포동 1266-0,논현로22길 주차장,https://pcmap.place.naver.com/restaurant/18751976/review/visitor#
18,1041839,신당동 공영주차장(구),중구 신당동 300-6,신당동 공영주차장,
19,1041840,남산동 공영주차장(구),중구 남산동2가 30-4,남산동 공영주차장,https://pcmap.place.naver.com/restaurant/18694365/review/visitor#
20,1041991,불암산 공영주차장(구),노원구 중계동 26-0,불암산 공영주차장,https://pcmap.place.naver.com/restaurant/21185777/review/visitor#
21,1042402,역삼1문화센터 공영주차장(구),강남구 역삼동 829-20,역삼1문화센터 공영주차장,https://pcmap.place.naver.com/restaurant/1207616557/review/visitor#
22,1042405,언북초교 공영주차장(구),강남구 청담동 27-0,언북초교 공영주차장,https://pcmap.place.naver.com/restaurant/109276510/review/visitor#
23,1042406,삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,삼성1문화센터 공영주차장,https://pcmap.place.naver.com/restaurant/1752134914/review/visitor#
24,1042410,논현초교 공영주차장(구),강남구 논현동 168-0,논현초교 공영주차장,https://pcmap.place.naver.com/restaurant/1094494340/review/visitor#
25,1042421,언주초 공영주차장(구),강남구 도곡동 922-0,언주초 공영주차장,https://pcmap.place.naver.com/restaurant/18555113/review/visitor#
26,1051018,연광초교지하공동주차장(구),은평구 불광동 400-6,연광초교지하공동주차장,https://pcmap.place.naver.com/restaurant/21185618/review/visitor#
27,1051043,구파발역 공영주차장(시),은평구 진관동 66-30,구파발역 공영주차장,https://pcmap.place.naver.com/restaurant/35992964/review/visitor#
28,1052723,살곶이(평면) 공영주차장(구),성동구 사근동 104-0,살곶이 공영주차장,https://pcmap.place.naver.com/restaurant/36003234/review/visitor#
29,1052737,응봉역공영주차장(구),성동구 응봉동 3-11,응봉역공영주차장,https://pcmap.place.naver.com/restaurant/1569635064/review/visitor#
